Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Neath,51.66423030200008,-3.8034041079999383,Gwyn Hall,51.662845771103754,-3.804021617954039,Performing Arts Venue
Neath,51.66423030200008,-3.8034041079999383,Neath Market,51.66295089096247,-3.8053797447436737,Market
Neath,51.66423030200008,-3.8034041079999383,Neath Rugby Football Club,51.66393133979953,-3.798201084136963,Athletics & Sports
Neath,51.66423030200008,-3.8034041079999383,Lidl,51.6684380787996,-3.80631258803811,Supermarket
Neath,51.66423030200008,-3.8034041079999383,Gnoll Estate Country Park,51.66357197881401,-3.786013126373291,Park
Neath,51.66423030200008,-3.8034041079999383,Cwrt Herbert Sports Centre,51.66514268944416,-3.816852673129397,Gym / Fitness Center
Neath,51.66423030200008,-3.8034041079999383,Aberdulais Falls,51.68007777740543,-3.7774920437046045,Waterfall
Neath,51.66423030200008,-3.8034041079999383,Subway,51.662983019924305,-3.8060881197452545,Sandwich Place
Neath,51.66423030200008,-3.8034041079999383,Marks & Spencer,51.662690384286,-3.80480351456879,Department Store
Neath,51.66423030200008,-3.8034041079999383,Glyn Clydach Hotel,51.676848,-3.828399,Hotel
Neath,51.66423030200008,-3.8034041079999383,Burger King,51.667165110310165,-3.8086816834206183,Fast Food Restaurant
Neath,51.66423030200008,-3.8034041079999383,Morrisons Neath,51.664838232463254,-3.8056224272752464,Supermarket
Neath,51.66423030200008,-3.8034041079999383,Boots,51.663436448976384,-3.8029188076548053,Pharmacy
Neath,51.66423030200008,-3.8034041079999383,Zafran Indian Restaurant,51.661061800210675,-3.842025228683512,Indian Restaurant
Neath,51.66423030200008,-3.8034041079999383,WHSmith,51.663844311122034,-3.80337605343459,Stationery Store
Neath,51.66423030200008,-3.8034041079999383,Argos,51.66297715829993,-3.8036396919154525,Warehouse Store
Neath,51.66423030200008,-3.8034041079999383,The David Protheroe (Wetherspoon),51.661873807707536,-3.8062002051174146,Pub
Neath,51.66423030200008,-3.8034041079999383,Tesco Metro,51.6626535989017,-3.802042007446289,Grocery Store
Neath,51.66423030200008,-3.8034041079999383,McDonald's,51.653339,-3.840996,Fast Food Restaurant
Neath,51.66423030200008,-3.8034041079999383,Moruzzi,51.664222717285156,-3.8062520027160645,Café
Neath,51.66423030200008,-3.8034041079999383,Moruzzi & Co,51.66415094788757,-3.806215524673462,Restaurant
Neath,51.66423030200008,-3.8034041079999383,Shillingfords Fish & Chips,51.656565533862945,-3.8062047958374023,Fish & Chips Shop
Neath,51.66423030200008,-3.8034041079999383,Tesco Express,51.672921515155046,-3.820047822090146,Grocery Store
Neath,51.66423030200008,-3.8034041079999383,Spar,51.678794041320096,-3.7706807890193996,Convenience Store
Neath,51.66423030200008,-3.8034041079999383,Skewen Railway Station (SKE),51.661450869162486,-3.8461785763043657,Train Station
Neath,51.66423030200008,-3.8034041079999383,Jersey Park,51.63835635798599,-3.8140978664159775,Park
